episode,seed,total_reward,steps,terminated,truncated,policy,timestamp
1,124,-237.9482207855435,148,True,False,False,auto,0.0,2025-10-31 12:01:40
2,125,-117.90487620921806,101,True,False,True,user_yes,0.0,2025-10-31 12:01:52
3,126,-133.68744285626533,83,True,False,False,auto,0.0,2025-10-31 12:02:03
4,127,-80.8379856673098,98,True,False,False,auto,0.0,2025-10-31 12:02:08
5,128,-167.67936158216673,84,True,False,False,auto,0.0,2025-10-31 12:02:13
1,124,-87.2805432865522,133,True,False,True,user_yes,0.0,2025-10-31 12:02:43
2,125,-361.9264168926704,94,True,False,True,user_yes,0.0,2025-10-31 12:02:46
3,126,-217.98240442937026,71,True,False,True,user_yes,0.0,2025-10-31 12:02:48
4,127,-316.1475316593279,115,True,False,False,user_no,0.0,2025-10-31 12:02:51
5,128,-100.60320922228172,86,True,False,False,user_no,0.0,2025-10-31 12:02:54
6,129,-129.5337909433169,62,True,False,False,user_no,0.0,2025-10-31 12:02:56
7,130,-122.29666923952254,75,True,False,False,user_no,0.0,2025-10-31 12:02:58
8,131,-280.86692534323413,107,True,False,False,user_no,0.0,2025-10-31 12:03:00
9,132,-91.22628389052856,72,True,False,False,user_no,0.0,2025-10-31 12:03:02
10,133,-296.70696518838713,80,True,False,False,user_no,0.0,2025-10-31 12:03:04
11,134,-192.04063403919795,86,True,False,False,user_no,0.0,2025-10-31 12:03:05
12,135,-130.84667181866178,78,True,False,False,auto,0.0,2025-10-31 12:03:07
13,136,-19.444547635467174,128,True,False,False,user_no,0.0,2025-10-31 12:03:10
14,137,-73.94140742920156,66,True,False,False,user_no,0.0,2025-10-31 12:03:11
15,138,-152.0268660052563,66,True,False,False,user_no,0.0,2025-10-31 12:03:13
16,139,9.336346632879469,79,True,False,False,auto,0.0,2025-10-31 12:03:14
17,140,-177.2205930868215,72,True,False,False,user_no,0.0,2025-10-31 12:03:16
18,141,-176.51407774252783,94,True,False,False,auto,0.0,2025-10-31 12:03:18
19,142,-139.8504219630596,91,True,False,False,auto,0.0,2025-10-31 12:03:27
20,143,-273.2718225776869,109,True,False,False,auto,0.0,2025-10-31 12:03:30
1,124,-525.8519910053793,113,True,False,False,auto,0.0,2025-10-31 12:04:55
1,124,-42.73505932482661,139,True,False,heuristic,2025-10-31 12:05:24
2,125,-105.63749460554973,88,True,False,heuristic,2025-10-31 12:05:26
3,126,-66.95847748255531,70,True,False,heuristic,2025-10-31 12:05:28
4,127,-10.799970632208925,120,True,False,heuristic,2025-10-31 12:05:30
5,128,0.3225407834127765,114,True,False,heuristic,2025-10-31 12:05:33
6,129,16.37391487589602,108,True,False,heuristic,2025-10-31 12:05:35
7,130,-33.23893783586033,105,True,False,heuristic,2025-10-31 12:05:37
8,131,-53.42906809033372,108,True,False,heuristic,2025-10-31 12:05:39
9,132,-46.21586183006416,73,True,False,heuristic,2025-10-31 12:05:41
10,133,-45.253427888098756,73,True,False,heuristic,2025-10-31 12:05:43
11,134,-27.139432291434986,118,True,False,heuristic,2025-10-31 12:05:45
12,135,-96.16521362647502,75,True,False,heuristic,2025-10-31 12:05:47
13,136,1.9264691757924055,129,True,False,heuristic,2025-10-31 12:05:49
14,137,-64.89288205853336,74,True,False,heuristic,2025-10-31 12:05:51
15,138,-55.067411826779576,66,True,False,heuristic,2025-10-31 12:05:52
16,139,-48.18201839670273,71,True,False,heuristic,2025-10-31 12:05:54
17,140,-70.4490011792049,72,True,False,heuristic,2025-10-31 12:05:55
18,141,-47.342354339809845,112,True,False,heuristic,2025-10-31 12:05:58
1,124,-42.73505932482661,139,True,False,heuristic,2025-10-31 12:16:13
2,125,-105.63749460554973,88,True,False,heuristic,2025-10-31 12:16:15
3,126,-66.95847748255531,70,True,False,heuristic,2025-10-31 12:16:16
